treatment,model,lambda,number_of_replicates,predation_strength,random_seed,dispersal_kernel,alpha,number_of_populations,migration_probability,reproduction_probability,epsilon,fixed_metapopulation
196,RickerModelWStochasticDispersal,14.0,200,0.03,2287661335,ExpKernel,3.0,10,0.01,1.0,0.01,false
197,RickerModelWDiffusionDispersal,2.0,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
198,RickerModelWStochasticDispersal,2.0,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
199,RickerModelWDiffusionDispersal,2.25,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
200,RickerModelWStochasticDispersal,2.25,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
201,RickerModelWDiffusionDispersal,2.5,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
202,RickerModelWStochasticDispersal,2.5,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
203,RickerModelWDiffusionDispersal,2.75,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
204,RickerModelWStochasticDispersal,2.75,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
205,RickerModelWDiffusionDispersal,3.0,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
206,RickerModelWStochasticDispersal,3.0,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
207,RickerModelWDiffusionDispersal,3.25,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
208,RickerModelWStochasticDispersal,3.25,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
209,RickerModelWDiffusionDispersal,3.5,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
210,RickerModelWStochasticDispersal,3.5,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
211,RickerModelWDiffusionDispersal,3.75,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
212,RickerModelWStochasticDispersal,3.75,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
213,RickerModelWDiffusionDispersal,4.0,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
214,RickerModelWStochasticDispersal,4.0,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
215,RickerModelWDiffusionDispersal,4.25,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
216,RickerModelWStochasticDispersal,4.25,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
217,RickerModelWDiffusionDispersal,4.5,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
218,RickerModelWStochasticDispersal,4.5,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
219,RickerModelWDiffusionDispersal,4.75,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
220,RickerModelWStochasticDispersal,4.75,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
221,RickerModelWDiffusionDispersal,5.0,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
222,RickerModelWStochasticDispersal,5.0,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
223,RickerModelWDiffusionDispersal,5.25,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
224,RickerModelWStochasticDispersal,5.25,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
225,RickerModelWDiffusionDispersal,5.5,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
226,RickerModelWStochasticDispersal,5.5,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
227,RickerModelWDiffusionDispersal,5.75,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
228,RickerModelWStochasticDispersal,5.75,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
229,RickerModelWDiffusionDispersal,6.0,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
230,RickerModelWStochasticDispersal,6.0,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
231,RickerModelWDiffusionDispersal,6.25,200,0.03,2287661335,ExpKernel,6.0,10,0.01,1.0,0.01,false
