treatment,model,lambda,number_of_replicates,predation_strength,random_seed,dispersal_kernel,alpha,number_of_populations,migration_probability,reproduction_probability,epsilon,fixed_metapopulation
197,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,3,0.03,1.0,0.01,false
198,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,3,0.03,1.0,0.01,false
199,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,3,0.03,1.0,0.01,false
200,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,3,0.03,1.0,0.01,false
201,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,4,0.03,1.0,0.01,false
202,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,4,0.03,1.0,0.01,false
203,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,4,0.03,1.0,0.01,false
204,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,4,0.03,1.0,0.01,false
205,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,5,0.03,1.0,0.01,false
206,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,5,0.03,1.0,0.01,false
207,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,5,0.03,1.0,0.01,false
208,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,5,0.03,1.0,0.01,false
209,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,6,0.03,1.0,0.01,false
210,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,6,0.03,1.0,0.01,false
211,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,6.0,6,0.03,1.0,0.01,false
212,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,9.0,6,0.03,1.0,0.01,false
213,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,0.0,7,0.03,1.0,0.01,false
214,RickerModelWDiffusionDispersal,7,100,0.03,2299144203,ExpKernel,3.0,7,0.03,1.0,0.01,false
