treatment,model,lambda,number_of_replicates,predation_strength,random_seed,dispersal_kernel,alpha,number_of_populations,migration_probability,reproduction_probability,epsilon,fixed_metapopulation
5319,RickerModelWDiffusionDispersal,5.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5320,RickerModelWStochasticDispersal,5.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5321,RickerModelWDiffusionDispersal,5.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5322,RickerModelWStochasticDispersal,5.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5323,RickerModelWDiffusionDispersal,5.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5324,RickerModelWStochasticDispersal,5.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5325,RickerModelWDiffusionDispersal,6.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5326,RickerModelWStochasticDispersal,6.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5327,RickerModelWDiffusionDispersal,6.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5328,RickerModelWStochasticDispersal,6.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5329,RickerModelWDiffusionDispersal,6.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5330,RickerModelWStochasticDispersal,6.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5331,RickerModelWDiffusionDispersal,6.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5332,RickerModelWStochasticDispersal,6.75,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5333,RickerModelWDiffusionDispersal,7.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5334,RickerModelWStochasticDispersal,7.0,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5335,RickerModelWDiffusionDispersal,7.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5336,RickerModelWStochasticDispersal,7.25,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5337,RickerModelWDiffusionDispersal,7.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
5338,RickerModelWStochasticDispersal,7.5,50,0.03,1007929834,ExpKernel,0,15,0.27,1.0,0.01,false
