treatment,model,lambda,number_of_replicates,predation_strength,random_seed,dispersal_kernel,alpha,number_of_populations,migration_probability,reproduction_probability,epsilon,fixed_metapopulation
207,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,0.0,10,0.05,1.0,0.01,false
208,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,0.0,10,0.05,1.0,0.01,false
209,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,0.0,10,0.05,1.0,0.01,false
210,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,0.0,10,0.05,1.0,0.01,false
211,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,3.0,10,0.05,1.0,0.01,false
212,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,3.0,10,0.05,1.0,0.01,false
213,RickerModelWDiffusionDispersal,5,100,0.03,424508389,ExpKernel,3.0,10,0.05,1.0,0.01,false
214,RickerModelWStochasticDispersal,5,100,0.03,424508389,ExpKernel,3.0,10,0.05,1.0,0.01,false
215,RickerModelWDiffusionDispersal,8,100,0.03,424508389,ExpKernel,3.0,10,0.05,1.0,0.01,false
216,RickerModelWStochasticDispersal,8,100,0.03,424508389,ExpKernel,3.0,10,0.05,1.0,0.01,false
217,RickerModelWDiffusionDispersal,11,100,0.03,424508389,ExpKernel,3.0,10,0.05,1.0,0.01,false
218,RickerModelWStochasticDispersal,11,100,0.03,424508389,ExpKernel,3.0,10,0.05,1.0,0.01,false
219,RickerModelWDiffusionDispersal,14,100,0.03,424508389,ExpKernel,3.0,10,0.05,1.0,0.01,false
220,RickerModelWStochasticDispersal,14,100,0.03,424508389,ExpKernel,3.0,10,0.05,1.0,0.01,false
221,RickerModelWDiffusionDispersal,2,100,0.03,424508389,ExpKernel,6.0,10,0.05,1.0,0.01,false
222,RickerModelWStochasticDispersal,2,100,0.03,424508389,ExpKernel,6.0,10,0.05,1.0,0.01,false
